*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ohmPi_MUX_64elec_I2C
*Date=19:49:17
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
105;;diode-1n4001;167.758;-311.947;-90;Bottom;D47
106;12V;THT;47.2986;-156.938;0;Bottom;OMRON6
107;12V;THT;250.22;-191.962;0;Bottom;OMRON56
108;12V;THT;47.2602;-258.938;0;Bottom;OMRON12
109;12V;THT;250.22;-105.962;0;Bottom;OMRON51
110;;to-92;163.201;-271.171;-90;Bottom;Q45
111;;to-92;28.2141;-236.207;-90;Bottom;Q9
112;100k;THT;96.7602;-261.747;90;Bottom;R28
113;12V;THT;250.258;-174.962;0;Bottom;OMRON55
114;;diode-1n4001;99.7283;-243.985;-90;Bottom;D27
115;;to-92;95.1823;-117.175;-90;Bottom;Q20
116;;to-92;231.079;-151.962;-90;Bottom;Q54
117;100k;THT;232.76;-143.248;90;Bottom;R53
118;;to-92;95.0872;-99.9048;-90;Bottom;Q19
119;12V;THT;182.247;-293.901;0;Bottom;OMRON46
120;12V;THT;47.2986;-139.938;0;Bottom;OMRON5
121;;to-92;163.106;-219.901;-90;Bottom;Q42
122;100k;THT;96.7602;-107.747;90;Bottom;R19
123;100k;THT;163.76;-91.2475;90;Bottom;R34
124;;diode-1n4001;32.7602;-71.8575;-90;Bottom;D1
125;;to-92;163.106;-82.9013;-90;Bottom;Q34
126;100k;THT;232.26;-211.247;90;Bottom;R57
127;12V;THT;182.247;-327.901;0;Bottom;OMRON48
128;;diode-1n4001;235.72;-261.042;-90;Bottom;D60
129;12V;THT;250.258;-140.962;0;Bottom;OMRON53
130;12V;THT;250.258;-157.962;0;Bottom;OMRON54
131;;diode-1n4001;99.7283;-277.985;-90;Bottom;D29
132;12V;THT;250.22;-208.962;0;Bottom;OMRON57
133;100k;THT;163.76;-142.748;90;Bottom;R37
134;;diode-1n4001;32.7602;-191.858;-90;Bottom;D8
135;100k;THT;29.6205;-158.588;-90;Bottom;R6
136;;to-92;28.2141;-116.207;-90;Bottom;Q3
137;12V;THT;47.2602;-121.938;0;Bottom;OMRON4
138;;THT;125.378;-351.762;-90;Bottom;17-32
139;12V;THT;250.22;-293.962;0;Bottom;OMRON62
140;100k;THT;164.26;-125.248;90;Bottom;R36
141;;;112.76;-70.9375;0;Bottom;Via2
142;;to-92;231.174;-237.232;-90;Bottom;Q59
143;;diode-1n4001;235.743;-141.046;-90;Bottom;D53
144;100k;THT;222.95;-327.437;0;Bottom;R64
145;12V;THT;250.231;-310.928;0;Bottom;OMRON63
146;100k;THT;30.1205;-89.3475;-90;Bottom;R2
147;;diode-1n4001;235.72;-192.882;-90;Bottom;D56
148;;diode-1n4001;167.747;-106.821;-90;Bottom;D35
149;12V;THT;47.2602;-87.9375;0;Bottom;OMRON2
150;;to-92;28.1191;-132.938;-90;Bottom;Q19
151;;diode-1n4001;167.68;-175.065;-90;Bottom;D39
152;12V;THT;47.2602;-224.938;0;Bottom;OMRON10
153;;diode-1n4001;99.7283;-294.985;-90;Bottom;D30
