*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=mb.2023.0.0
*Date=14:43:53
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
103;;;58.3184;-20.9473;0;Bottom;Copper Fill18
104;;;112.865;-51.8846;0;Bottom;Copper Fill120
105;;;34.798;-43.3629;0;Bottom;Copper Fill87
106;;;46.3677;-32.9361;0;Bottom;Copper Fill31
107;;THT;119.275;-37.5336;0;Bottom;U4
108;;;84.3561;-60.5149;0;Bottom;TXT3
109;;;2.67389;-36.1982;90;Bottom;TXT2
110;;;56.0832;-32.39;0;Bottom;Copper Fill41
111;;;87.1982;-14.2163;0;Bottom;Copper Fill15
112;;;59.5249;-58.7172;0;Bottom;Copper Fill47
113;;;84.9249;-42.9945;0;Bottom;Copper Fill61
114;;;58.3184;-36.1873;0;Bottom;Copper Fill10
115;;;116.256;-28.6308;0;Bottom;Copper Fill74
116;;;11.2141;-26.0781;0;Bottom;Copper Fill34
117;;;78.6347;-50.4658;0;Bottom;ADS1115-2
118;;;112.865;-45.9664;0;Bottom;Copper Fill114
119;100nF;100 mil [THT, multilayer];24.6767;-44.2037;-45;Bottom;C10
120;1.5k;THT;106.575;-37.4483;0;Bottom;R1
121;;;18.2753;-55.6946;0;Bottom;Copper Fill98
122;;;69.6849;-44.671;0;Bottom;Copper Fill51
123;;;45.5422;-36.3016;0;Bottom;Copper Fill27
124;;;106.985;-42.55;0;Bottom;Copper Fill109
125;;;114.554;-21.0108;0;Bottom;Copper Fill70
126;1k;THT;10.4981;-56.6051;0;Bottom;R29
127;;;84.9249;-44.671;0;Bottom;Copper Fill60
128;;;41.1861;-61.816;0;Bottom;Copper Fill57
129;;DIP24 [THT];34.6175;-16.2468;180;Bottom;THD 15-1211N2
130;;;6.1976;-56.6217;0;Bottom;Copper Fill83
131;;;58.3184;-28.5673;0;Bottom;Copper Fill13
132;;;26.9113;-21.9633;0;Bottom;Copper Fill92
133;;;116.256;-21.0108;0;Bottom;Copper Fill71
134;;;58.4446;-62.7383;0;Bottom;Hole3
135;;;126.136;-55.3009;0;Bottom;Copper Fill102
136;1.5k;THT;26.0141;-60.2335;180;Bottom;R28
