name,location,institution,latitude,longitude,description,image
ohmpi01,Middelkerke (BE),ULiège,51.1844,2.8204,,./img/ohmpi_img.jpeg
ohmpi02,Rochefort (BE),UMons,50.15840,5.22288,Measurement of the root system of 2 trees,
