Component,Quantity,Cost per unit,Reference,Order platform,Manufacturer,Manufacturer reference,Description,Web link,Total cost EUR excl.VAT
terminal block 12V (2 pôles),6,0.85,649-VI02215200J0G,mouser,VI0221520000G,Amphenol,Fixed Terminal Blocks TB RIS CLA 180 STACK,https://eu.mouser.com/ProductDetail/Amphenol-Anytek/VI0221520000G?qs=Mv7BduZupUi3lmtBYXCXvw%3D%3D,5.09
mikroe i2C isolator,1,16.74,932-MIKROE-1878,mouser,MIKROE-1878,Mikroe,Interface Development Tools I2C Isolator click,https://eu.mouser.com/ProductDetail/Mikroe/MIKROE-1878?qs=k5OWtXsTJao5L2rHk53Deg%3D%3D,16.74
mikroe shunt current sensor,1,24.18,2475770,RS,MIKROE-4976,Mikroe,Power Management IC Development Tools Current 7 Click,https://fr.rs-online.com/web/p/kits-de-developpement-pour-capteur/2475770?searchId=67801b00-be80-4021-9dca-dd17a4efd36f&gb=s,24.18
SparkFun Accessories Level Translator Breakout,2,4.03,474-bob-15439,mouser,BOB-15439,SparkFun Electronics,SparkFun Accessories Level Translator Breakout - PCA9306,https://eu.mouser.com/ProductDetail/SparkFun/BOB-15439?qs=P1JMDcb91o4XoNPr%252B0Xi4g%3D%3D,8.06
omhron G5LE relay,7,1.44,653-G5LE-1-DC5 ,mouser,G5LE-1A4-DC5,Omron,General Purpose Relays Power PCB Relay SPST-NO Sealed 5VDC,https://eu.mouser.com/ProductDetail/Omron-Electronics/G5LE-1A4-DC5?qs=pWf36BUtxBgFTk6ytLB7NQ%3D%3D,8.64
DIP for MCP23008 (18 pins),2,1.33,200-ICA318STT,mouser,110-47-318-41-001000,Mill-Max,IC & Component Sockets STANDRD SOLDER TAIL DIP SOCKET,https://eu.mouser.com/ProductDetail/Mill-Max/110-47-318-41-001000?qs=5aG0NVq1C4xxoOYTdZ6dOw%3D%3D,2.66
DIP for OP27E (8 pins),4,1.39,575-144308,mouser,110-13-308-41-001000,Mill-Max,IC & Component Sockets 8P GLD PIN GLD CONT,https://eu.mouser.com/ProductDetail/Mill-Max/110-13-308-41-001000?qs=WZeyYeqMOWeYjIS4tXLt7Q%3D%3D,6.95
DIP for DG411DJ (16 pins),1,1.05,855-D2816-42,mouser,110-44-316-41-001000,Mill-Max,IC & Component Sockets 16P TIN PIN TIN CONT,https://eu.mouser.com/ProductDetail/Mill-Max/110-44-316-41-001000?qs=IGgAdOvCTsRH%252BXEWrwEHKg%3D%3D,1.05
header for raspberrypi,1,1.87,474-PRT-16764,mouser,PRT-14017,SparkFun Electronics,Raspberry Pi Accessories Raspberry Pi GPIO Tall Header - 2x20,https://eu.mouser.com/ProductDetail/SparkFun/PRT-14017?qs=a4BXICGgSn%2F%252BaML822b65A%3D%3D,1.87
header socket 1 row 5 positions,2,1.97,571-5-534237-3,mouser,5-534237-3,TE Connectivity,Headers & Wire Housings REC 1X05P VRT T/H,https://eu.mouser.com/ProductDetail/TE-Connectivity/5-534237-3?qs=Eln3I3szM1klmLr%252BSZCsuQ%3D%3D,3.94
header socket 1 row 4 positions,3,1.46,571-215297-4,mouser,5-534237-2,TE Connectivity,Headers & Wire Housings REC 1X04P VRT T/H,https://eu.mouser.com/ProductDetail/TE-Connectivity/5-534237-2?qs=GYgf5PdsjzkI3hK2O1eiLQ%3D%3D,4.38
header socket 1 row 8 positions,4,1.74,571-215297-8,mouser,5-535541-6,TE Connectivity,Headers & Wire Housings REC 1X08P VRT T/H,https://eu.mouser.com/ProductDetail/TE-Connectivity/5-535541-6?qs=xDp7PGUNC%252BuqVwKJJvkWQw%3D%3D,6.96
header socket 1 row 10 positions,2,2.71,571-5342378 ,mouser,SSW-110-02-G-S,Samtec,"Headers & Wire Housings Tiger Buy Socket Strip with PCB Tails, .100” Pitch",https://eu.mouser.com/ProductDetail/Samtec/SSW-110-02-G-S?qs=rU5fayqh%252BE0w1ORXZiBQpw%3D%3D,5.42
header socket 1 row 2 positions,1,1.02,571-215297-2,mouser,SSW-102-02-G-S,Samtec,"Headers & Wire Housings Tiger Buy Socket Strip with PCB Tails, .100” Pitch",https://eu.mouser.com/ProductDetail/Samtec/SSW-102-02-G-S?qs=rU5fayqh%252BE2ZEIMTlw%2FBLw%3D%3D,1.02
header pins 1 row 10 positions,1,1.24,571-1-826629-0,mouser,1-826629-0,TE Connectivity,Headers & Wire Housings 10P SINGLE ROW,https://eu.mouser.com/ProductDetail/TE-Connectivity/1-826629-0?qs=FazuUmncXom0aPLI6ZgGxg%3D%3D,1.24
IDC sockets (go on the ribon cable),2,0.43,710-61200623021,mouser,61200623021,Wurth Elektronik,Headers & Wire Housings WR-BHD 2.54mm Female 6P Strt IDC Conn,https://eu.mouser.com/ProductDetail/Wurth-Elektronik/61200623021?qs=PhR8RmCirEabk1Ywkdxzfw%3D%3D,0.86
IDC pins,3,1.32,571-1761681-1,mouser,1761681-1,TE Connectivity,Headers & Wire Housings IDC LOW PRO HDR 6P VERT HT BLACK,https://eu.mouser.com/ProductDetail/TE-Connectivity/1761681-1?qs=BqFpTYCQ3dLAeZ2wzdz7aw%3D%3D,3.96
Raspberryp pi 4,1,55.80,358-SC1111,mouser,Raspberry Pi,SC1111,Raspberry Pi,https://www.mouser.be/ProductDetail/Raspberry-Pi/SC1111?qs=HoCaDK9Nz5fnLhlMNnKTiQ%3D%3D,55.80
socket to cut for 3 THD,3,1.73,575-8014701210012000,mouser,Mil-Max,801-47-012-10-012000,,https://www.mouser.be/ProductDetail/Mill-Max/801-47-012-10-012000?qs=5aG0NVq1C4x40xNvDlnKzg%3D%3D,5.19
PCB measurement board (pack of 3),1,,,Aisler,,,,https://aisler.net/?lang=fr-FR,70.00
Resitor newtork 100K,1,,652-4309R-1LF-100K,mouser,,,,,
TOTAL,,,,,,,,,458.36700000000002
