*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=card_measure_raspberry_v3.15
*Date=09:53:26
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;;;1.6256;-25.278;0;Bottom;Copper Fill97
103;;;45.5422;-36.3016;0;Bottom;Copper Fill27
104;;;123.025;-32.0217;0;Bottom;Copper Fill75
105;;;126.136;-55.3009;0;Bottom;Copper Fill102
106;;;56.0832;-50.1701;0;Bottom;Copper Fill44
107;;;34.798;-43.3629;0;Bottom;Copper Fill87
108;;;26.9113;-23.6397;0;Bottom;Copper Fill91
109;;;56.0832;-45.0901;0;Bottom;Copper Fill42
110;;;2.45656;-41.1132;90;Bottom;TXT2
111;;;58.3184;-51.4274;0;Bottom;Copper Fill3
112;100nF;100 mil [THT, multilayer];24.6767;-44.2037;-45;Bottom;C10
113;;;4.5466;-47.2745;0;Bottom;Copper Fill123
114;;;9.3345;-9.64432;0;Bottom;Copper Fill111
115;;;60.4266;-57.7901;0;Bottom;Copper Fill48
116;;;31.0261;-55.8216;0;Bottom;Copper Fill62
117;;;58.3184;-48.8874;0;Bottom;Copper Fill4
118;;;84.9249;-44.671;0;Bottom;Copper Fill60
119;;;83.1957;-43.63;-90;Bottom;Raspberry Pi 1
120;;;6.84718;-25.2084;0;Bottom;TRN3-1211
121;;;114.554;-28.6308;0;Bottom;Copper Fill73
122;;;58.3184;-46.3474;0;Bottom;Copper Fill5
123;1k;THT;10.4981;-56.6051;0;Bottom;R29
124;;;119.585;-60.6731;0;Bottom;TXT2
125;;;98.3869;-10.3555;0;Bottom;Copper Fill23
126;;;41.1861;-61.816;0;Bottom;Copper Fill57
127;;;112.865;-51.8846;0;Bottom;Copper Fill120
128;;;58.9447;-4.73836;0;Bottom;Hole2
129;;;129.546;-63.2125;0;Bottom;TXT2
130;;;47.2186;-33.7616;0;Bottom;Copper Fill33
131;;;116.256;-36.2;0;Bottom;Copper Fill69
132;;;20.6248;-10.8;0;Bottom;Copper Fill90
133;100nF;100 mil [THT, multilayer];36.6768;-44.2037;-45;Bottom;C9
134;;;58.3184;-43.8074;0;Bottom;Copper Fill6
135;;;58.3184;-13.3273;0;Bottom;Copper Fill21
136;;;84.9249;-42.9945;0;Bottom;Copper Fill61
137;;;22.7838;-43.3629;0;Bottom;Copper Fill85
138;;THT;130.112;-9.72221;90;Bottom;J15
139;;;114.554;-21.0108;0;Bottom;Copper Fill70
140;;;107.785;-41.7753;0;Bottom;Copper Fill108
141;;;76.454;-19.7408;0;Bottom;Copper Fill25
142;;;5.4229;-48.1254;0;Bottom;Copper Fill121
143;;;19.4945;-9.64432;0;Bottom;Copper Fill89
144;;;75.1422;-63.2683;0;Bottom;TXT3
145;;;110.325;-51.8846;0;Bottom;Copper Fill104
