Component,Quantity,Cost per unit,Mouser ref,Manufacturer,Manufacturer reference,Description,Web link,Total cost EUR excl.VAT
mikroe shunt current sensor,1,24.18,932-MIKROE-4976,MIKROE-4976,Mikroe,Power Management IC Development Tools Current 7 Click,https://eu.mouser.com/ProductDetail/Mikroe/MIKROE-4976?qs=MyNHzdoqoQKaB6t4IH2nAQ%3D%3D,24.18
SparkFun Accessories Level Translator Breakout,2,4.03,474-BOB-15439,BOB-15439,SparkFun Electronics,SparkFun Accessories Level Translator Breakout - PCA9306,https://eu.mouser.com/ProductDetail/SparkFun/BOB-15439?qs=P1JMDcb91o4XoNPr%252B0Xi4g%3D%3D,0
omhron G5LE relay,6,1.44,653-G5LE-1A4-DC5,G5LE-1A4-DC5,Omron,General Purpose Relays Power PCB Relay SPST-NO Sealed 5VDC,https://eu.mouser.com/ProductDetail/Omron-Electronics/G5LE-1A4-DC5?qs=pWf36BUtxBgFTk6ytLB7NQ%3D%3D,8.64
DIP for MCP23008 (18 pins),2,1.33,575-1104731841001000,110-47-318-41-001000,Mill-Max,IC & Component Sockets STANDRD SOLDER TAIL DIP SOCKET,https://eu.mouser.com/ProductDetail/Mill-Max/110-47-318-41-001000?qs=5aG0NVq1C4xxoOYTdZ6dOw%3D%3D,2.66
DIP for OP27E (8 pins),5,1.39,575-113308,110-13-308-41-001000,Mill-Max,IC & Component Sockets 8P GLD PIN GLD CONT,https://eu.mouser.com/ProductDetail/Mill-Max/110-13-308-41-001000?qs=WZeyYeqMOWeYjIS4tXLt7Q%3D%3D,6.95
DIP for DG411DJ (16 pins),1,1.05,575-11044316,110-44-316-41-001000,Mill-Max,IC & Component Sockets 16P TIN PIN TIN CONT,https://eu.mouser.com/ProductDetail/Mill-Max/110-44-316-41-001000?qs=IGgAdOvCTsRH%252BXEWrwEHKg%3D%3D,1.05
header for raspberrypi,1,1.87,474-PRT-14017,PRT-14017,SparkFun Electronics,Raspberry Pi Accessories Raspberry Pi GPIO Tall Header - 2x20,https://eu.mouser.com/ProductDetail/SparkFun/PRT-14017?qs=a4BXICGgSn%2F%252BaML822b65A%3D%3D,1.87
IDC sockets (go on the ribon cable),2,0.43,710-61200623021,61200623021,Wurth Elektronik,Headers & Wire Housings WR-BHD 2.54mm Female 6P Strt IDC Conn,https://eu.mouser.com/ProductDetail/Wurth-Elektronik/61200623021?qs=PhR8RmCirEabk1Ywkdxzfw%3D%3D,0.86
header socket 1 row 5 positions,2,1.97,571-5-534237-3,5-534237-3,TE Connectivity,Headers & Wire Housings REC 1X05P VRT T/H,https://eu.mouser.com/ProductDetail/TE-Connectivity/5-534237-3?qs=Eln3I3szM1klmLr%252BSZCsuQ%3D%3D,3.94
header socket 1 row 4 positions,3,1.46,571-5-534237-2,5-534237-2,TE Connectivity,Headers & Wire Housings REC 1X04P VRT T/H,https://eu.mouser.com/ProductDetail/TE-Connectivity/5-534237-2?qs=GYgf5PdsjzkI3hK2O1eiLQ%3D%3D,4.38
