*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=mux.2023.0.0
*Date=15:03:32
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
104;;to-92;95.1823;-117.175;-90;Bottom;Q20
105;;diode-1n4001;32.7602;-105.857;-90;Bottom;D3
106;12V;THT;250.258;-174.962;0;Bottom;OMRON55
107;;THT;166.76;-7.93763;0;Bottom;J21
108;100k;THT;222.95;-327.437;0;Bottom;R64
109;;diode-1n4001;235.731;-312.008;-90;Bottom;D63
110;;diode-1n4001;99.7283;-277.985;-90;Bottom;D29
111;;to-92;28.1191;-218.937;-90;Bottom;Q10
112;;to-92;95.1823;-288.175;-90;Bottom;Q30
113;;diode-1n4001;167.747;-260.981;-90;Bottom;D44
114;12V;THT;250.22;-276.962;0;Bottom;OMRON61
115;;to-92;163.201;-254.171;-90;Bottom;Q44
116;100k;THT;232.26;-177.248;90;Bottom;R55
117;12V;THT;114.228;-276.905;0;Bottom;OMRON29
118;12V;THT;250.22;-327.962;0;Bottom;OMRON64
119;;to-92;95.0872;-82.905;-90;Bottom;Q18
120;12V;THT;182.247;-242.901;0;Bottom;OMRON43
121;12V;THT;114.228;-327.905;0;Bottom;OMRON32
122;;to-92;28.2141;-65.2075;-90;Bottom;Q1
123;12V;THT;47.2986;-156.938;0;Bottom;OMRON6
124;100k;THT;29.9205;-106.647;-90;Bottom;R3
125;;THT;125.378;-351.762;-90;Bottom;17-32
126;;diode-1n4001;235.72;-209.882;-90;Bottom;D57
127;;;20.561;-330.553;0;Bottom;TXT3
128;100k;THT;96.7602;-210.748;90;Bottom;R25
129;;diode-1n4001;32.7602;-208.858;-90;Bottom;D9
130;;diode-1n4001;99.7283;-106.825;-90;Bottom;D19
131;;to-92;28.2141;-287.208;-90;Bottom;Q14
